battery,temp,speed,voltage,current,soh,range
54,36,69,43.41,21.68,95.4,87.3
72,29,113,49.12,24.09,97.2,110.1
45,31,118,42.87,20.29,94.5,54.6
67,28,71,46.42,23.71,96.7,112.7
28,50,85,44.94,14.82,92.8,30.5
82,48,105,40.57,27.14,98.2,132.5
49,43,80,44.77,5.34,94.9,74.0
42,37,75,43.38,27.42,94.2,61.5
100,40,24,48.55,8.13,100.0,192.8
51,35,89,48.64,28.18,95.1,75.3
21,35,20,44.92,25.09,92.1,36.0
38,30,22,49.95,28.69,93.8,69.4
73,31,100,48.19,15.53,97.3,116.0
75,29,20,43.14,26.04,97.5,144.0
80,47,81,43.85,24.67,98.0,135.7
77,43,103,49.39,18.15,97.7,123.1
69,47,55,44.34,5.83,96.9,121.5
24,34,68,47.38,19.72,92.4,27.6
44,36,89,42.02,13.67,94.4,61.3
87,32,24,45.8,16.25,98.7,166.8
33,45,23,43.74,28.56,93.3,59.1
60,37,57,46.94,7.46,96.0,102.9
37,46,112,45.86,25.7,93.7,40.4
34,50,89,40.31,23.06,93.4,41.3
72,38,105,45.86,24.52,97.2,112.5
28,42,54,46.46,5.66,92.8,39.8
74,26,81,45.43,21.56,97.4,123.7
44,41,65,40.69,25.38,94.4,68.5
81,38,82,44.36,7.92,98.1,137.4
77,49,33,46.57,6.38,97.7,144.1
41,45,78,40.29,11.47,94.1,58.6
25,36,68,48.1,18.4,92.5,29.6
43,37,106,41.56,20.89,94.3,54.2
69,50,22,48.92,19.27,96.9,131.4
91,25,33,47.29,13.91,99.1,172.1
42,25,82,45.82,20.95,94.2,59.4
45,37,85,46.37,5.94,94.5,64.5
60,35,93,44.73,17.69,96.0,92.1
36,41,48,48.26,27.92,93.6,57.6
46,31,64,48.24,11.56,94.6,72.8
63,41,88,45.97,12.88,96.3,99.6
86,47,78,48.69,7.76,98.6,148.6
49,40,84,49.49,29.88,94.9,72.8
75,27,33,44.65,23.04,97.5,140.1
84,42,79,45.26,9.52,98.4,144.3
32,35,41,48.16,8.06,93.2,51.7
94,35,75,42.85,8.67,99.4,165.5
49,35,26,48.64,29.55,94.9,90.2
69,25,89,46.89,19.11,96.9,111.3
64,36,88,44.85,26.13,96.4,101.6
61,43,115,40.96,21.83,96.1,87.5
74,25,117,40.48,12.79,97.4,112.9
82,36,92,44.35,23.5,98.2,136.4
93,27,66,40.85,17.46,99.3,166.2
95,35,47,46.27,25.34,99.5,175.9
85,40,31,41.46,27.68,98.5,160.7
88,37,56,49.84,5.94,98.8,159.2
92,38,85,46.3,9.14,99.2,158.5
99,47,87,42.25,15.26,99.9,171.9
99,36,99,48.83,12.96,99.9,168.3
49,25,80,44.52,27.34,94.9,74.0
97,50,42,46.89,20.65,99.7,181.4
31,42,62,48.07,15.88,93.1,43.4
79,31,116,44.42,28.06,97.9,123.2
37,35,45,42.14,6.41,93.7,60.5
29,49,69,41.78,22.26,92.9,37.3
59,28,97,42.63,7.22,95.9,88.9
77,39,48,48.29,7.98,97.7,139.6
92,37,118,42.14,23.05,99.2,148.6
41,33,92,47.8,12.92,94.1,54.4
33,50,20,42.37,7.3,93.3,60.0
69,50,46,46.67,20.73,96.9,124.2
28,28,96,41.16,26.72,92.8,27.2
88,25,97,47.61,19.36,98.8,146.9
72,44,70,46.0,18.28,97.2,123.0
75,27,99,44.49,27.9,97.5,120.3
97,44,26,45.68,24.02,99.7,186.2
70,38,81,41.81,23.0,97.0,115.7
26,35,120,43.45,23.82,92.6,16.0
81,36,21,40.07,16.23,98.1,155.7
91,47,79,43.92,5.22,99.1,158.3
43,29,90,49.41,6.38,94.3,59.0
75,42,58,48.4,29.15,97.5,132.6
63,38,113,49.46,15.54,96.3,92.1
99,49,115,47.26,18.5,99.9,163.5
61,25,35,49.47,26.22,96.1,111.5
28,46,93,48.05,20.75,92.8,28.1
83,48,73,48.62,7.69,98.3,144.1
34,28,96,49.25,21.07,93.4,39.2
62,38,100,49.07,11.17,96.2,94.0
61,38,105,40.44,14.65,96.1,90.5
80,33,28,46.66,9.17,98.0,151.6
83,29,53,41.62,14.83,98.3,150.1
